notegroupID,project_name,phase,remark,note_url_QA,note_url_PARTICIPANT
24,Zaanstad (2025),1,,https://docs.google.com/document/d/1U-SnTKdKu6SIi9kQfBaOtCumfrifNLol9ibfuwDvyWQ/edit?tab=t.0,
25,Zaanstad (2025),1,,https://docs.google.com/document/d/1ZSGsAEMTqU1v02_9IR8GrgzzxH4IgjVs9Pe0wvKiI_Q/edit?tab=t.0,
26,Zaanstad (2025),1,,https://docs.google.com/document/d/1rZS-U64D2cgBdLFPlyx-bjs_W_7PMuO13RiPEFKujSU/edit?tab=t.0,
27,Zaanstad (2025),1,,https://docs.google.com/document/d/1AFl9gMs45Ia6Mdr4AwoPesrKNgMpoZDmxB5NAQ7fPKc/edit?usp=drive_web&ouid=112775587110239024196,
28,Zaanstad (2025),1,,https://docs.google.com/document/d/1ZsHCnTXAqwjwQ-_AsnFRf2eKi5CToptclQ9M4VKkksY/edit?tab=t.0,
29,Zaanstad (2025),1,,https://docs.google.com/document/d/1M5VCHaanRU0aO9FgQAP0lMnsSrj2OlB7ExbcCjN_6Ik/edit?tab=t.0,
30,Zaanstad (2025),1,,https://docs.google.com/document/d/1zfhyx6YfGUCCrwhwNlAKLkxAMxHrcw_y7NtAiZX_G68/edit?tab=t.0,
31,Zaanstad (2025),1,,https://docs.google.com/document/d/1WHc99-i1ZQOMc6rJej4UGRsDEcXgORoK/edit,
32,Zaanstad (2025),1,,https://docs.google.com/document/d/1vB61h_RWXUtETorJhV7uOsA9a5x94LomgmIpu451uzU/edit?tab=t.0,
33,Zaanstad (2025),1,,https://docs.google.com/document/d/1eMZApL4EsihxiTuUanFiQAxDVVxa3NbsZOWQZ4_VDJU/edit?tab=t.0,
34,MDT Newbees (2025),1,Anonymous participants,https://docs.google.com/document/d/1rHnedsIoTbaK-dr-moynx3LUjsGaAFVRFlAjaTJB1rk/edit?tab=t.0,
35,MDT Newbees (2025),1,,https://docs.google.com/document/d/1EgOz17zPQ6nI1-ycE5IZMGbKErG1OQ4v/edit,
36,MDT Newbees (2025),1,,https://docs.google.com/document/d/13HpKtRS1ZIGTNDRcjlaAXkkhqPkkKwyQ/edit,
37,MDT Newbees (2025),1,,https://docs.google.com/document/d/1exseGKHz2xw0z9M32hl-Pcbdh0Mra_G7/edit,
38,MDT Newbees (2025),1,,https://docs.google.com/document/d/1Krj8haIRYmv1RA6F0Fg5taHnpEkIVFxeIE90UCVpAeg/edit?tab=t.0,
39,M&E Venlo (2025),1,,https://docs.google.com/document/d/1giTSRNaPIpwlVS39meb0frMLk9q24sbOzMM1AKFoCO0/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
40,M&E Venlo (2025),1,"full name, language group, headers clear",https://docs.google.com/document/d/1eDTcfLFVtMumS0-7hCfoM_l8XUIpkYowyLl4dJ7jWio/edit?usp=drive_web&ouid=112775587110239024196,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
41,M&E Venlo (2025),1,,https://docs.google.com/document/d/1hvCdskVPC3Sjd3_ViKt_mK-SyI1Tm5k15-ljkUE9HFw/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
42,M&E Venlo (2025),1,,https://docs.google.com/document/d/1j7EUsXivR6q4nkiW3WpgGu7a8l9pWEZ8YM68guWHZZo/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
43,M&E Venlo (2025),1,,https://docs.google.com/document/d/1vWXeoPJHfyc-9MS56vw1VtOMmY0Zw_vr/edit,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
44,M&E Venlo (2025),1,,https://docs.google.com/document/d/1GgsLGXDFJX_-A4WM8nkqam4eYYCUFwlJDRpnxGzC0I4/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
45,M&E Venlo (2025),1,,https://docs.google.com/document/d/10DBOx9XL1wGfYR2e7MxgRMtTGK7mkRUX4_0Cvt8__qE/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
46,M&E Venlo (2025),1,,https://docs.google.com/document/d/15hWFl774EKLslYiWzSgPVKgyiTwJFIqPAt32y7jvLao/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
47,M&E Venlo (2025),1,,https://docs.google.com/document/d/1U_MkQBpdv_GI40NNgrgUVgJ9h9aelycaX0QW_3IelU0/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
48,M&E Venlo (2025),1,,https://docs.google.com/document/d/1pJYs5AwVdY-VRxIiDzYjHWQTCpbtFzdf/edit#heading=h.n0kj64cwmqva,https://docs.google.com/spreadsheets/d/1zGmAk3meSwKAaW8vBropfODWftt73-caMxuc6CTfN7c/edit?gid=0#gid=0
49,M&E Maastricht (2025),1,"Anonymous participants/Names and
abbreviations in the notes sheet",https://docs.google.com/document/d/1X91whcKLPVLZ_XyP-jU4RVU4uLO-u4BM5Co1dg-cDcU/edit?tab=t.0,
50,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1rumNEIgiSThwTU-EPz7MmEOjeUmCEX1CYUE-yfL3ILw/edit?tab=t.0,
51,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1bfDS8OVZBtN-T1cP8EraQ7EJ6A6dodOGA_tw3cSZOPQ/edit?tab=t.0,
52,M&E Maastricht (2025),1,,https://docs.google.com/document/d/10QHnLyig6BckJTaKxO2RzDy8jww5jgeqeNEuv_vYuTU/edit?tab=t.0,
53,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1miJgFLpL43QkiKdkrhmUSjwLdeAGIn1OMUINcHLuolQ/edit?tab=t.0,
54,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1wOt8ORnL5DwVFkD9BJqIEHEuKeumFkcRGs8PxHj8PKY/edit?tab=t.0,
55,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1EJpprjidOg-4k_E3On0hMZ0I71KxLRh7mC8GmG_Ux9U/edit?tab=t.0,
56,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1ziV_wZb2EpNlgv5DzMz2pcyMGTCD2yYdyk9lOUr99U4/edit?tab=t.0,
57,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1Gbmkn4Dev-vMz4MNL7jT5KbhUMV_U02_yAACXozu9RE/edit?tab=t.0,
58,M&E Maastricht (2025),1,,https://docs.google.com/document/d/1HZzKMQiTNMn_AnVWHBW78QeJ0A5HMQX4IiSVDmjPJ7Q/edit?tab=t.0,
59,Nieuwe Buurthuis (2025),1,No particpants file found,https://docs.google.com/document/d/11brSYIExhXjloOgICY5rpXAvtN5k8Jy0KywerzhPl80/edit?tab=t.0#heading=h.m0dtj6kggy0x,
60,Nieuwe Buurthuis (2025),1,,https://docs.google.com/document/d/1MW-R6m-61S_1XIHVdjYD2E3x9jDg0esbS7qHnOBr9uY/edit?tab=t.0,
61,Nieuwe Buurthuis (2025),1,this file includes the Q&A,https://docs.google.com/document/d/1m_2pyu1M3lPubMESufjS9T1gpa1M1YT0/edit#heading=h.nlqo2e46iwy9,
62,Nieuwe Buurthuis (2025),1,,https://docs.google.com/document/d/1pZeDCcJAMknrcEXjXrjHjUsdWmn21Fse/edit#heading=h.nlqo2e46iwy9,
63,Nieuwe Buurthuis (2025),1,,https://docs.google.com/document/d/1F_rcmo-njSxYLH9Tef6JDzO9sIeELfSh/edit,
64,Leisdschendam Voorburg (2025),1,,https://docs.google.com/document/d/19ahpTyXQIVwKDOL4_n8NPArHFJYXNfm7/edit,https://docs.google.com/spreadsheets/d/156aaX25n8Qhzr_mqhDUSw0v6jhNsP1-deBD6qBHomAM/edit?gid=0#gid=0
65,Leisdschendam Voorburg (2025),1,,https://docs.google.com/document/d/1tncl5biRdXfuylahJ4575WW1HTrHbkrP/edit#heading=h.iif6y8zdawrp,https://docs.google.com/spreadsheets/d/156aaX25n8Qhzr_mqhDUSw0v6jhNsP1-deBD6qBHomAM/edit?gid=0#gid=0
66,Leisdschendam Voorburg (2025),1,,https://docs.google.com/document/d/1nYPVQ7iAzGngnsGxt93VqpHbfucS6_ql/edit,https://docs.google.com/spreadsheets/d/156aaX25n8Qhzr_mqhDUSw0v6jhNsP1-deBD6qBHomAM/edit?gid=0#gid=0
67,Leisdschendam Voorburg (2025),1,,https://docs.google.com/document/d/1iAnXgUeFL6x5lUJdrW8vJ9Ly5xDa79aijdYxXP1SHIM/edit?tab=t.0,https://docs.google.com/spreadsheets/d/156aaX25n8Qhzr_mqhDUSw0v6jhNsP1-deBD6qBHomAM/edit?gid=0#gid=0
68,Leisdschendam Voorburg (2025),1,participants' information better to be merged,https://docs.google.com/document/d/1uBLRiQbab70pkoUJBqDymDdsf4B_QySH/edit,https://docs.google.com/spreadsheets/d/156aaX25n8Qhzr_mqhDUSw0v6jhNsP1-deBD6qBHomAM/edit?gid=0#gid=0
69,Utrecht (2025),1,,https://docs.google.com/document/d/1fybEHojGMmiBKspOGb9Yv3MH8-exknve5W79okC2b5M/edit?tab=t.0,
70,Utrecht (2025),1,,https://docs.google.com/document/d/174ymWnVNb0YLRSvtr8LKGxUkbHPyrs7sHabw-amBXKM/edit?tab=t.0,
71,Utrecht (2025),1,,https://docs.google.com/document/d/1CHFUy9xpga1LVBwTSHmP7nhCS3IC0pe0wG18MkD2w_E/edit?tab=t.0,
72,Utrecht (2025),1,,https://docs.google.com/document/d/1CQlc7EbPXXaPbnMja0K6i_xc4VeH6ctf16gba6W0510/edit?tab=t.0,
73,Utrecht (2025),1,,https://docs.google.com/document/d/1h-9bhy0BosfbbHTe4MhXzqlDI96QF3Hu/edit,
74,Utrecht (2025),1,,https://docs.google.com/document/d/18COk3H0PIA7xK5-EtxybEnLh8Rhy2yk2Zsnzk18U240/edit?tab=t.0,
75,Ukrainian Youth (2025),1,no participants list found,https://docs.google.com/document/d/1iTgWDQOEtZ-IPBPYkXjghdgs_XtCwY7DiUQefHKl3eE/edit?tab=t.0,
76,Perspectief Inburgeraars (2025),3,focus on year 2025,https://docs.google.com/document/d/1FG3Q_-C6Dsj5OxJc37HXC60-rU9EOqw6/edit,https://docs.google.com/spreadsheets/d/14pNIihzhPLOVnBSmQUDafTGpflRrgZR_BFv-84VU9zc/edit?gid=0#gid=0
77,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1Wwls_SD30xmBx_e80cXRKFm51YmvAaRI/edit,https://docs.google.com/spreadsheets/d/1a4pWD39LrKZOCobChtSu-EqZiffbT9PwQQe1rhAReDc/edit?gid=0#gid=0
78,Perspectief Inburgeraars (2025),3,session 7 jan,https://docs.google.com/document/d/1MtZrvk_9Dc-xuRiqNWbF-6uX47SmpPkUiW_UhrgO6Ng/edit?tab=t.0,https://docs.google.com/spreadsheets/d/1nU-E67hXE7DdROboLj-TIrWdPk4iy6ZP/edit?gid=330683756#gid=330683756
79,Perspectief Inburgeraars (2025),3,session 14 jan,https://docs.google.com/document/d/13FbJN2xItVdZjJo8aAuD3CXS6yp7NmZn/edit,https://docs.google.com/document/d/1qsDbDGz4JrmlW0isDncbeKbJf2fDk47cToqpMskxuSo/edit?tab=t.0
80,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/11raUJ0AeoRANX7jWzSPiRZ0-e6YWr073JqnVsT2seq4/edit?tab=t.0,
81,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1bWENltJQqFSRV0L_oIQQJ-rzYI74UZzM5sWp0MJ5io0/edit?tab=t.0,
82,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1PPl-Ymjpw8TOEfuyZkeINWzCeL__v2zwIyOjb5Y_XeY/edit?tab=t.0,
83,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1I3flxGqBsvyC7pTDMsE1PdNl9qwvLU9u2xZxuUn-czs/edit?tab=t.0,
84,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1aZGYBbF4hKorcoj6U43Mp3jBkk_7wZo1QiaheBnD9gA/edit?tab=t.0,
85,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1di2SHPn6B5y4PLxIkT32SLCKmZWwAi151DIbEW-7FNM/edit?tab=t.0,
86,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1CnifXzARjLnZmFY1P7EhpbN30rm5f9b5OK_D0ucQ3Ew/edit?tab=t.0,
87,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1J4P1bUntI_h5kI9i2CV2CEM-AMt6GXyX/edit,
88,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1UetFOzQpY0UvGjAzWP6x1mhMqMTq7MQr/edit,
89,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1wHs2m-6vgpxfMRxVZA4tt8QcJWeIPBxkQvP6tuXqKTs/edit?tab=t.0,
90,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1EqqFwEcCVtT-zv9dQQxajUZzY74XYB80/edit,
91,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1wIwwLh38iluwxKcCZW-jdGeH5WF0YAsZh4yYJaG5cNM/edit?tab=t.0,
92,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1U_gD0WBWWSF7thP-OSOyOhdbuSTYnS4K4CGIOnyREiE/edit?tab=t.0,
93,Perspectief Inburgeraars (2025),3,,https://docs.google.com/document/d/1YtVPc1ARoeFZ_ESZhnsEmEbMzQp9w1vA/edit,
